ID,name,location,jobrole,department,language,author,keyword
100105,John Smith105,Houston,Trainer,Training,French,Boris Becker...31,*
100106,John Smith106,Austin,Technical Writer,Training,French,Boris Becker...32,*
100107,John Smith107,Seattle,Trainer,Training,French,Boris Becker...33,LMS
100108,John Smith108,San Francisco,Traning Manager,Training,French,Boris Becker...34,*
100109,John Smith109,Atlanta,IT Support,Transportation,French,Boris Becker...35,ETL
100110,John Smith110,Denver,Delivery,Transportation,French,Boris Becker...36,*
100111,John Smith111,Portland,Transportation Manager,Transportation,French,Boris Becker...37,*
100112,John Smith112,Miami,Delivery,Transportation,Spanish,Boris Becker...101,*
100113,John Smith113,Orlando,Accountant,Accounting,French,Boris Becker...164,GAAP
100114,John Smith114,Charlotte,Accounting Manager,Accounting,French,Boris Becker...165,GAAP
100115,John Smith115,Chicago,Accountant,Accounting,French,Boris Becker...166,GAAP
100116,John Smith116,Manchester,Technical Support,Accounting,French,Boris Becker...167,ETL
100117,John Smith117,Tucson,Forecaster,Finance,Spanish,Boris Becker...168,*
100118,John Smith118,Cincinati,Investment,Finance,French,Boris Becker...169,VAR
100119,John Smith119,Baltimore,Investment,Finance,French,Boris Becker...170,VAR
100120,John Smith120,New Jersey,Technical Support,Finance,French,Boris Becker...171,ETL
100121,John Smith121,Honolulu,Recruiter,Human Resources,French,Boris Becker...172,ATS
100122,John Smith122,Fairbanks,Recruiter,Human Resources,French,Boris Becker...173,ATS
100123,John Smith123,Anchorage,Hiring Manager,Human Resources,French,Boris Becker...174,*
100124,John Smith124,Salt Lake City,HR Manager,Human Resources,French,Boris Becker...175,*
100125,John Smith125,San Diego,Planning,Operations,French,Boris Becker...176,*
100126,John Smith126,Boston,IT Support,Operations,French,Boris Becker...177,ETL
100127,John Smith127,New York,Planning,Operations,French,Boris Becker...178,*
100128,John Smith128,Los Angeles,IT Support,Operations,French,Boris Becker...179,ETL
100129,John Smith129,Phoenix,Sales Rep,Sales,French,Boris Becker...180,Powerpoint Presentation
100130,John Smith130,Houston,Senior Sales Rep,Sales,French,Boris Becker...181,Powerpoint Presentation
100131,John Smith131,Austin,Sales Manager,Sales,French,Boris Becker...182,Powerpoint Presentation
100132,John Smith132,Seattle,Sales Rep,Sales,French,Boris Becker...183,Powerpoint Presentation
100133,John Smith133,San Francisco,Trainer,Training,French,Boris Becker...247,LMS
100134,John Smith134,Atlanta,Technical Writer,Training,French,Boris Becker...310,*
100135,John Smith135,Denver,Trainer,Training,French,Boris Becker...311,LMS
100136,John Smith136,Portland,Traning Manager,Training,French,Boris Becker...312,*
100137,John Smith137,Miami,IT Support,Transportation,Spanish,Boris Becker...313,ETL
100138,John Smith138,Orlando,Delivery,Transportation,French,Boris Becker...314,*
100139,John Smith139,Charlotte,Transportation Manager,Transportation,French,Boris Becker...315,*
100140,John Smith140,Chicago,Delivery,Transportation,French,Boris Becker...316,*
100141,John Smith141,Manchester,Accountant,Accounting,French,Boris Becker...317,GAAP
100142,John Smith142,Tucson,Accounting Manager,Accounting,Spanish,Boris Becker...318,GAAP
100143,John Smith143,Cincinati,Accountant,Accounting,French,Boris Becker...319,GAAP
100144,John Smith144,Baltimore,Technical Support,Accounting,French,Boris Becker...320,ETL
100145,John Smith145,New Jersey,Forecaster,Finance,French,Boris Becker...321,*
100146,John Smith146,Honolulu,Investment,Finance,French,Boris Becker...322,VAR
100147,John Smith147,Fairbanks,Investment,Finance,French,Boris Becker...323,VAR
100148,John Smith148,Anchorage,Technical Support,Finance,French,Boris Becker...324,ETL
100149,John Smith149,Salt Lake City,Recruiter,Human Resources,French,Boris Becker...325,ATS
100150,John Smith150,San Diego,Recruiter,Human Resources,French,Boris Becker...326,ATS
100151,John Smith151,Boston,Hiring Manager,Human Resources,French,Boris Becker...327,*
100152,John Smith152,New York,HR Manager,Human Resources,French,Boris Becker...328,*
100153,John Smith153,Los Angeles,Planning,Operations,French,Boris Becker...329,*
100154,John Smith154,Phoenix,IT Support,Operations,French,Boris Becker...393,ETL
100155,John Smith155,Houston,Planning,Operations,French,Boris Becker...456,*
100156,John Smith156,Austin,IT Support,Operations,French,Boris Becker...457,ETL
100157,John Smith157,Seattle,Sales Rep,Sales,French,Boris Becker...458,Powerpoint Presentation
100158,John Smith158,San Francisco,Senior Sales Rep,Sales,French,Boris Becker...459,Powerpoint Presentation
100159,John Smith159,Atlanta,Sales Manager,Sales,French,Boris Becker...460,Powerpoint Presentation
100160,John Smith160,Denver,Sales Rep,Sales,French,Boris Becker...461,Powerpoint Presentation
100161,John Smith161,Portland,Trainer,Training,French,Boris Becker...462,LMS
100162,John Smith162,Miami,Technical Writer,Training,Spanish,Boris Becker...463,*
100163,John Smith163,Orlando,Trainer,Training,French,Boris Becker...464,LMS
100164,John Smith164,Charlotte,Traning Manager,Training,French,Boris Becker...465,*
100165,John Smith165,Chicago,IT Support,Transportation,French,Boris Becker...466,ETL
100166,John Smith166,Manchester,Delivery,Transportation,French,Boris Becker...467,*
100167,John Smith167,Tucson,Transportation Manager,Transportation,Spanish,Boris Becker...468,*
100168,John Smith168,Cincinati,Delivery,Transportation,French,Boris Becker...469,*
100169,John Smith169,Baltimore,Accountant,Accounting,French,Boris Becker...470,GAAP
100170,John Smith170,New Jersey,Accounting Manager,Accounting,French,Boris Becker...471,GAAP
100171,John Smith171,Honolulu,Accountant,Accounting,French,Boris Becker...472,GAAP
100172,John Smith172,Fairbanks,Technical Support,Accounting,French,Boris Becker...473,ETL
100173,John Smith173,Anchorage,Forecaster,Finance,French,Boris Becker...474,*
100174,John Smith174,Salt Lake City,Investment,Finance,French,Boris Becker...475,VAR
100175,John Smith175,San Diego,Investment,Finance,French,Bjorn Bork...39,VAR
100176,John Smith176,Boston,Technical Support,Finance,French,Bjorn Bork...102,ETL
100177,John Smith177,New York,Recruiter,Human Resources,French,Bjorn Bork...103,ATS
100178,John Smith178,Los Angeles,Recruiter,Human Resources,French,Bjorn Bork...104,ATS
100179,John Smith179,Phoenix,Hiring Manager,Human Resources,French,Bjorn Bork...105,*
100180,John Smith180,Houston,HR Manager,Human Resources,French,Bjorn Bork...106,*
100181,John Smith181,Austin,Planning,Operations,French,Bjorn Bork...107,*
100182,John Smith182,Seattle,IT Support,Operations,French,Bjorn Bork...108,ETL
100183,John Smith183,San Francisco,Planning,Operations,French,Bjorn Bork...109,*
100184,John Smith184,Atlanta,IT Support,Operations,French,Bjorn Bork...110,ETL
100185,John Smith185,Denver,Sales Rep,Sales,French,Bjorn Bork...111,Powerpoint Presentation
100186,John Smith186,Portland,Senior Sales Rep,Sales,French,Bjorn Bork...112,Powerpoint Presentation
100187,John Smith187,Miami,Sales Manager,Sales,Spanish,Bjorn Bork...113,Powerpoint Presentation
100188,John Smith188,Orlando,Sales Rep,Sales,French,Bjorn Bork...114,Powerpoint Presentation
100189,John Smith189,Charlotte,Trainer,Training,French,Bjorn Bork...115,LMS
100190,John Smith190,Chicago,Technical Writer,Training,French,Bjorn Bork...116,*
100191,John Smith191,Manchester,Trainer,Training,French,Bjorn Bork...117,LMS
100192,John Smith192,Tucson,Traning Manager,Training,Spanish,Bjorn Bork...118,*
100193,John Smith193,Cincinati,IT Support,Transportation,French,Bjorn Bork...119,ETL
100194,John Smith194,Baltimore,Delivery,Transportation,French,Bjorn Bork...120,*
100195,John Smith195,New Jersey,Transportation Manager,Transportation,French,Bjorn Bork...121,*
100196,John Smith196,Honolulu,Delivery,Transportation,French,Bjorn Bork...185,*
100197,John Smith197,Fairbanks,Accountant,Accounting,French,Bjorn Bork...267,GAAP
100198,John Smith198,Anchorage,Accounting Manager,Accounting,French,Bjorn Bork...268,GAAP
100199,John Smith199,Salt Lake City,Accountant,Accounting,French,Bjorn Bork...269,GAAP
100200,John Smith200,San Diego,Technical Support,Accounting,French,Bjorn Bork...270,ETL
100201,John Smith201,Boston,Forecaster,Finance,French,Bjorn Bork...271,Predictive Analysis
100202,John Smith202,New York,Investment,Finance,French,Bjorn Bork...272,VAR
100203,John Smith203,Los Angeles,Investment,Finance,French,Bjorn Bork...273,VAR
100204,John Smith204,Phoenix,Technical Support,Finance,French,Bjorn Bork...274,ETL
100205,John Smith205,Houston,Recruiter,Human Resources,French,Bjorn Bork...275,ATS
100206,John Smith206,Austin,Recruiter,Human Resources,French,Bjorn Bork...276,ATS
100207,John Smith207,Seattle,Hiring Manager,Human Resources,German,Bjorn Bork...277,*
100208,John Smith208,San Francisco,HR Manager,Human Resources,French,Bjorn Bork...278,*
100209,John Smith209,Atlanta,Planning,Operations,French,Bjorn Bork...279,*
100210,John Smith210,Denver,IT Support,Operations,French,Bjorn Bork...280,ETL
100211,John Smith211,Portland,Planning,Operations,French,Bjorn Bork...281,*
100212,John Smith212,Miami,IT Support,Operations,Spanish,Bjorn Bork...282,ETL
100213,John Smith213,Orlando,Sales Rep,Sales,French,Bjorn Bork...283,Powerpoint Presentation
100214,John Smith214,Charlotte,Senior Sales Rep,Sales,French,Bjorn Bork...284,Powerpoint Presentation
100215,John Smith215,Chicago,Sales Manager,Sales,French,Bjorn Bork...285,Powerpoint Presentation
100216,John Smith216,Manchester,Sales Rep,Sales,French,Bjorn Bork...286,Powerpoint Presentation
100217,John Smith217,Tucson,Trainer,Training,Spanish,Bjorn Bork...350,LMS
100218,John Smith218,Cincinati,Technical Writer,Training,French,Bjorn Bork...413,*
100219,John Smith219,Baltimore,Trainer,Training,French,*,LMS
100220,John Smith220,New Jersey,Traning Manager,Training,French,*,*
100221,John Smith221,Honolulu,IT Support,Transportation,French,*,ETL
100222,John Smith222,Fairbanks,Delivery,Transportation,French,*,*
100223,John Smith223,Anchorage,Transportation Manager,Transportation,French,*,*
100224,John Smith224,Salt Lake City,Delivery,Transportation,French,*,*
100225,John Smith225,San Diego,Accountant,Accounting,French,*,GAAP
100226,John Smith226,Boston,Accounting Manager,Accounting,French,*,GAAP
100227,John Smith227,New York,Accountant,Accounting,French,*,GAAP
100228,John Smith228,Los Angeles,Technical Support,Accounting,French,James Cook...43,ETL
100229,John Smith229,Phoenix,Forecaster,Finance,French,James Cook...44,Predictive Analysis
100230,John Smith230,Houston,Investment,Finance,French,James Cook...45,VAR
100231,John Smith231,Austin,Investment,Finance,French,James Cook...46,VAR
100232,John Smith232,Seattle,Technical Support,Finance,German,James Cook...47,ETL
100233,John Smith233,San Francisco,Recruiter,Human Resources,French,James Cook...48,ATS
100234,John Smith234,Atlanta,Recruiter,Human Resources,French,James Cook...49,ATS
100235,John Smith235,Denver,Hiring Manager,Human Resources,French,James Cook...50,*
100236,John Smith236,Portland,HR Manager,Human Resources,French,James Cook...51,*
100237,John Smith237,Miami,Planning,Operations,Spanish,James Cook...52,*
100238,John Smith238,Orlando,IT Support,Operations,French,James Cook...53,ETL
100239,John Smith239,Charlotte,Planning,Operations,French,James Cook...54,*
100240,John Smith240,Chicago,IT Support,Operations,French,James Cook...55,ETL
100241,John Smith241,Manchester,Sales Rep,Sales,French,James Cook...56,Powerpoint Presentation
100242,John Smith242,Tucson,Senior Sales Rep,Sales,Spanish,James Cook...57,Powerpoint Presentation
100243,John Smith243,Cincinati,Sales Manager,Sales,French,James Cook...58,Powerpoint Presentation
100244,John Smith244,Baltimore,Sales Rep,Sales,French,James Cook...59,Powerpoint Presentation
100245,John Smith245,New Jersey,Trainer,Training,French,James Cook...60,LMS
100246,John Smith246,Honolulu,Technical Writer,Training,French,James Cook...61,*
100247,John Smith247,Fairbanks,Trainer,Training,French,James Cook...62,LMS
100248,John Smith248,Anchorage,Traning Manager,Training,French,James Cook...63,*
100249,John Smith249,Salt Lake City,IT Support,Transportation,French,James Cook...64,ETL
100250,John Smith250,San Diego,Delivery,Transportation,French,James Cook...65,*
100251,John Smith251,Boston,Transportation Manager,Transportation,French,James Cook...66,*
100252,John Smith252,New York,Delivery,Transportation,French,James Cook...67,*
100253,John Smith253,Los Angeles,Accountant,Accounting,French,James Cook...68,GAAP
100254,John Smith254,Phoenix,Accounting Manager,Accounting,French,James Cook...69,GAAP
100255,John Smith255,Houston,Accountant,Accounting,French,James Cook...70,GAAP
100256,John Smith256,Austin,Technical Support,Accounting,French,James Cook...71,ETL
100257,John Smith257,Seattle,Forecaster,Finance,German,James Cook...72,Predictive Analysis
100258,John Smith258,San Francisco,Investment,Finance,French,James Cook...73,VAR
100259,John Smith259,Atlanta,Investment,Finance,French,James Cook...74,VAR
100260,John Smith260,Denver,Technical Support,Finance,French,James Cook...75,ETL
100261,John Smith261,Portland,Recruiter,Human Resources,French,James Cook...76,ATS
100262,John Smith262,Miami,Recruiter,Human Resources,Spanish,James Cook...77,ATS
100263,John Smith263,Orlando,Hiring Manager,Human Resources,French,James Cook...78,*
100264,John Smith264,Charlotte,HR Manager,Human Resources,French,James Cook...79,*
100265,John Smith265,Chicago,Planning,Operations,French,James Cook...80,*
100266,John Smith266,Manchester,IT Support,Operations,French,James Cook...81,ETL
100267,John Smith267,Tucson,Planning,Operations,Spanish,James Cook...82,*
100268,John Smith268,Cincinati,IT Support,Operations,French,James Cook...83,ETL
100269,John Smith269,Baltimore,Sales Rep,Sales,French,James Cook...84,Powerpoint Presentation
100270,John Smith270,New Jersey,Senior Sales Rep,Sales,French,James Cook...85,Powerpoint Presentation
100271,John Smith271,Honolulu,Sales Manager,Sales,French,James Cook...86,Powerpoint Presentation
100272,John Smith272,Fairbanks,Sales Rep,Sales,French,James Cook...87,Powerpoint Presentation
100273,John Smith273,Anchorage,Trainer,Training,French,James Cook...88,LMS
100274,John Smith274,Salt Lake City,Technical Writer,Training,French,James Cook...89,*
100275,John Smith275,San Diego,Trainer,Training,French,James Cook...90,LMS
100276,John Smith276,Boston,Traning Manager,Training,French,James Cook...91,*
100277,John Smith277,New York,IT Support,Transportation,French,James Cook...92,ETL
100278,John Smith278,Los Angeles,Delivery,Transportation,French,James Cook...93,*
100279,John Smith279,Phoenix,Transportation Manager,Transportation,French,James Cook...94,*
100280,John Smith280,Houston,Delivery,Transportation,French,James Cook...95,*
100281,John Smith281,Austin,Accountant,Accounting,French,James Cook...183,GAAP
100282,John Smith282,Seattle,Accounting Manager,Accounting,German,James Cook...184,GAAP
100283,John Smith283,San Francisco,Accountant,Accounting,French,James Cook...185,GAAP
100284,John Smith284,Atlanta,Technical Support,Accounting,French,James Cook...186,ETL
100285,John Smith285,Denver,Forecaster,Finance,French,James Cook...187,Predictive Analysis
100286,John Smith286,Portland,Investment,Finance,French,James Cook...188,VAR
100287,John Smith287,Miami,Investment,Finance,Spanish,James Cook...189,VAR
100288,John Smith288,Orlando,Technical Support,Finance,French,James Cook...190,ETL
100289,John Smith289,Charlotte,Recruiter,Human Resources,French,James Cook...191,ATS
100290,John Smith290,Chicago,Recruiter,Human Resources,French,James Cook...192,ATS
100291,John Smith291,Manchester,Hiring Manager,Human Resources,French,James Cook...193,*
100292,John Smith292,Tucson,HR Manager,Human Resources,Spanish,James Cook...194,*
100293,John Smith293,Cincinati,Planning,Operations,French,James Cook...195,*
100294,John Smith294,Baltimore,IT Support,Operations,French,James Cook...196,ETL
100295,John Smith295,New Jersey,Planning,Operations,French,James Cook...197,*
100296,John Smith296,Honolulu,IT Support,Operations,French,James Cook...198,ETL
100297,John Smith297,Fairbanks,Sales Rep,Sales,French,James Cook...199,Powerpoint Presentation
100298,John Smith298,Anchorage,Senior Sales Rep,Sales,French,James Cook...200,Powerpoint Presentation
100299,John Smith299,Salt Lake City,Sales Manager,Sales,French,James Cook...201,Powerpoint Presentation
100300,John Smith300,San Diego,Sales Rep,Sales,French,James Cook...202,Powerpoint Presentation
100301,John Smith301,Boston,Trainer,Training,French,James Cook...203,LMS
100302,John Smith302,New York,Technical Writer,Training,French,James Cook...204,*
100303,John Smith303,Los Angeles,Trainer,Training,French,James Cook...205,LMS
100304,John Smith304,Phoenix,Traning Manager,Training,French,James Cook...206,*
100305,John Smith305,Houston,IT Support,Transportation,French,James Cook...207,ETL
100306,John Smith306,Austin,Delivery,Transportation,French,James Cook...208,*
100307,John Smith307,Seattle,Transportation Manager,Transportation,German,James Cook...209,*
100308,John Smith308,San Francisco,Delivery,Transportation,French,James Cook...210,*
100309,John Smith309,Atlanta,Accountant,Accounting,French,James Cook...211,GAAP
100310,John Smith310,Denver,Accounting Manager,Accounting,French,James Cook...212,GAAP
100311,John Smith311,Portland,Accountant,Accounting,French,James Cook...213,GAAP
100312,John Smith312,Miami,Technical Support,Accounting,Spanish,James Cook...214,ETL
100313,John Smith313,Orlando,Forecaster,Finance,French,James Cook...215,Predictive Analysis
100314,John Smith314,Charlotte,Investment,Finance,French,James Cook...216,VAR
100315,John Smith315,Chicago,Investment,Finance,French,James Cook...217,VAR
100316,John Smith316,Manchester,Technical Support,Finance,French,James Cook...218,ETL
100317,John Smith317,Tucson,Recruiter,Human Resources,Spanish,James Cook...219,ATS
100318,John Smith318,Cincinati,Recruiter,Human Resources,French,James Cook...220,ATS
100319,John Smith319,Baltimore,Hiring Manager,Human Resources,French,James Cook...221,*
100320,John Smith320,New Jersey,HR Manager,Human Resources,French,James Cook...222,*
100321,John Smith321,Honolulu,Planning,Operations,French,James Cook...223,*
100322,John Smith322,Fairbanks,IT Support,Operations,French,James Cook...224,ETL
100323,John Smith323,Anchorage,Planning,Operations,French,James Cook...225,*
100324,John Smith324,Salt Lake City,IT Support,Operations,French,James Cook...226,ETL
100325,John Smith325,San Diego,Sales Rep,Sales,French,James Cook...227,Powerpoint Presentation
100326,John Smith326,Boston,Senior Sales Rep,Sales,French,James Cook...228,Powerpoint Presentation
100327,John Smith327,New York,Sales Manager,Sales,French,James Cook...229,Powerpoint Presentation
100328,John Smith328,Los Angeles,Sales Rep,Sales,French,James Cook...230,Powerpoint Presentation
100329,John Smith329,Phoenix,Trainer,Training,French,James Cook...231,LMS
100330,John Smith330,Houston,Technical Writer,Training,French,James Cook...232,*
100331,John Smith331,Austin,Trainer,Training,French,James Cook...233,LMS
100332,John Smith332,Seattle,Traning Manager,Training,German,James Cook...234,*
100333,John Smith333,San Francisco,IT Support,Transportation,French,James Cook...235,ETL
100334,John Smith334,Atlanta,Delivery,Transportation,French,James Cook...236,*
100335,John Smith335,Denver,Transportation Manager,Transportation,French,James Cook...237,*
100336,John Smith336,Portland,Delivery,Transportation,French,James Cook...238,*
100337,John Smith337,Miami,Accountant,Accounting,Spanish,James Cook...239,GAAP
100338,John Smith338,Orlando,Accounting Manager,Accounting,French,James Cook...240,GAAP
100339,John Smith339,Charlotte,Accountant,Accounting,French,James Cook...241,GAAP
100340,John Smith340,Chicago,Technical Support,Accounting,French,James Cook...329,ETL
100341,John Smith341,Manchester,Forecaster,Finance,French,James Cook...330,Predictive Analysis
100342,John Smith342,Tucson,Investment,Finance,Spanish,James Cook...331,VAR
100343,John Smith343,Cincinati,Investment,Finance,French,James Cook...332,VAR
100344,John Smith344,Baltimore,Technical Support,Finance,French,James Cook...333,ETL
100345,John Smith345,New Jersey,Recruiter,Human Resources,French,James Cook...334,ATS
100346,John Smith346,Honolulu,Recruiter,Human Resources,French,James Cook...335,ATS
100347,John Smith347,Fairbanks,Hiring Manager,Human Resources,French,James Cook...336,*
100348,John Smith348,Anchorage,HR Manager,Human Resources,French,James Cook...337,*
100349,John Smith349,Salt Lake City,Planning,Operations,French,James Cook...338,*
100350,John Smith350,San Diego,IT Support,Operations,French,James Cook...339,ETL
100351,John Smith351,Boston,Planning,Operations,French,James Cook...340,*
100352,John Smith352,New York,IT Support,Operations,French,James Cook...341,ETL
100353,John Smith353,Los Angeles,Sales Rep,Sales,French,James Cook...342,Powerpoint Presentation
100354,John Smith354,Phoenix,Senior Sales Rep,Sales,French,James Cook...343,Powerpoint Presentation
